protB	protA	combined_score	GENENAME1	logFC1	P.Value1	adj.P.Val1	Direction1	GENENAME2	logFC2	P.Value2	adj.P.Val2	Direction2
ENSECAP00000000436	ENSECAP00000000315	999	NDUFS7	1.05581670465724	0.0141210448237851	0.224191445361508	up	NDUFB5	1.12834335433006	0.0260917480986211	0.274761995603224	up
ENSECAP00000003275	ENSECAP00000000315	997	NDUFS7	1.05581670465724	0.0141210448237851	0.224191445361508	up	UQCRFS1	0.973667529200721	0.0314080748368859	0.294466219419341	up
ENSECAP00000003275	ENSECAP00000000436	996	NDUFB5	1.12834335433006	0.0260917480986211	0.274761995603224	up	UQCRFS1	0.973667529200721	0.0314080748368859	0.294466219419341	up
ENSECAP00000006049	ENSECAP00000000315	997	NDUFS7	1.05581670465724	0.0141210448237851	0.224191445361508	up	COX5B	1.03327681296915	0.0045558652018539	0.150090448038853	up
ENSECAP00000006049	ENSECAP00000000436	997	NDUFB5	1.12834335433006	0.0260917480986211	0.274761995603224	up	COX5B	1.03327681296915	0.0045558652018539	0.150090448038853	up
ENSECAP00000006049	ENSECAP00000003275	999	UQCRFS1	0.973667529200721	0.0314080748368859	0.294466219419341	up	COX5B	1.03327681296915	0.0045558652018539	0.150090448038853	up
ENSECAP00000007737	ENSECAP00000000315	991	NDUFS7	1.05581670465724	0.0141210448237851	0.224191445361508	up	UQCRB	0.848953983433489	0.0431678117730788	0.349467745821648	up
ENSECAP00000007737	ENSECAP00000000436	996	NDUFB5	1.12834335433006	0.0260917480986211	0.274761995603224	up	UQCRB	0.848953983433489	0.0431678117730788	0.349467745821648	up
ENSECAP00000007737	ENSECAP00000003275	999	UQCRFS1	0.973667529200721	0.0314080748368859	0.294466219419341	up	UQCRB	0.848953983433489	0.0431678117730788	0.349467745821648	up
ENSECAP00000007737	ENSECAP00000006049	999	COX5B	1.03327681296915	0.0045558652018539	0.150090448038853	up	UQCRB	0.848953983433489	0.0431678117730788	0.349467745821648	up
ENSECAP00000008593	ENSECAP00000002287	864	KIF5B	-0.436519071638394	0.00816354064564609	0.177650627628188	down	ROCK2	-3.01011301659627	0.00968814437222133	0.191399810098047	down
ENSECAP00000009257	ENSECAP00000000315	975	NDUFS7	1.05581670465724	0.0141210448237851	0.224191445361508	up	COX7A1	1.48006745771393	0.00436685075312011	0.150090448038853	up
ENSECAP00000009257	ENSECAP00000000436	980	NDUFB5	1.12834335433006	0.0260917480986211	0.274761995603224	up	COX7A1	1.48006745771393	0.00436685075312011	0.150090448038853	up
ENSECAP00000009257	ENSECAP00000003275	994	UQCRFS1	0.973667529200721	0.0314080748368859	0.294466219419341	up	COX7A1	1.48006745771393	0.00436685075312011	0.150090448038853	up
ENSECAP00000009257	ENSECAP00000006049	999	COX5B	1.03327681296915	0.0045558652018539	0.150090448038853	up	COX7A1	1.48006745771393	0.00436685075312011	0.150090448038853	up
ENSECAP00000009257	ENSECAP00000007737	995	UQCRB	0.848953983433489	0.0431678117730788	0.349467745821648	up	COX7A1	1.48006745771393	0.00436685075312011	0.150090448038853	up
ENSECAP00000009514	ENSECAP00000000315	997	NDUFS7	1.05581670465724	0.0141210448237851	0.224191445361508	up	NDUFS5	1.03392561424804	0.0169204020711235	0.23497453801172	up
ENSECAP00000009514	ENSECAP00000000436	998	NDUFB5	1.12834335433006	0.0260917480986211	0.274761995603224	up	NDUFS5	1.03392561424804	0.0169204020711235	0.23497453801172	up
ENSECAP00000009514	ENSECAP00000003275	991	UQCRFS1	0.973667529200721	0.0314080748368859	0.294466219419341	up	NDUFS5	1.03392561424804	0.0169204020711235	0.23497453801172	up
ENSECAP00000009514	ENSECAP00000006049	985	COX5B	1.03327681296915	0.0045558652018539	0.150090448038853	up	NDUFS5	1.03392561424804	0.0169204020711235	0.23497453801172	up
ENSECAP00000009514	ENSECAP00000007737	989	UQCRB	0.848953983433489	0.0431678117730788	0.349467745821648	up	NDUFS5	1.03392561424804	0.0169204020711235	0.23497453801172	up
ENSECAP00000009514	ENSECAP00000009257	976	COX7A1	1.48006745771393	0.00436685075312011	0.150090448038853	up	NDUFS5	1.03392561424804	0.0169204020711235	0.23497453801172	up
