protein2	protein1	combined_score	GENENAME1	logFC1	P.Value1	adj.P.Val1	Direction1	GENENAME2	logFC2	P.Value2	adj.P.Val2	Direction2
ENSECAP00000010598	ENSECAP00000008564	644	EIF6	-2.00873434744455	0.0197628217406016	0.32679237378209	down	EIF5	0.789194203590078	0.034740963250808	0.37141561011371	up
ENSECAP00000010598	ENSECAP00000010187	941	RPS20	-2.1767359934074	0.0183783967201726	0.308304263820287	down	EIF5	0.789194203590078	0.034740963250808	0.37141561011371	up
ENSECAP00000010598	ENSECAP00000013879	904	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up	EIF5	0.789194203590078	0.034740963250808	0.37141561011371	up
ENSECAP00000010598	ENSECAP00000015947	993	EIF2S1	-2.75656167392752	0.0365409569008225	0.377902875596469	down	EIF5	0.789194203590078	0.034740963250808	0.37141561011371	up
ENSECAP00000010598	ENSECAP00000018437	861	RPS25	-2.05944432128337	0.0490008365416389	0.405731024596725	down	EIF5	0.789194203590078	0.034740963250808	0.37141561011371	up
ENSECAP00000010598	ENSECAP00000021824	839	RPS14	-1.06384354602563	0.0479487321917721	0.404644485011402	down	EIF5	0.789194203590078	0.034740963250808	0.37141561011371	up
ENSECAP00000010598	ENSECAP00000022904	969	EIF5B	-3.08034135003436	0.000759620645462824	0.0837391330593542	down	EIF5	0.789194203590078	0.034740963250808	0.37141561011371	up
ENSECAP00000011648	ENSECAP00000007132	615	ACTR2	0.938315409517433	0.0118259152426521	0.286973859439574	up	VCL	0.662842443406118	0.0351571616896034	0.37141561011371	up
ENSECAP00000012275	ENSECAP00000050089	606	PLEC	0.818253650568297	0.0137287029715893	0.297027545600273	up	PPL	-0.811865279999445	0.0384014257208213	0.379017097198019	down
ENSECAP00000012292	ENSECAP00000008458	604	TSFM	2.1580409915263	0.0314844181715655	0.364432140335871	up	TACO1	-1.74290739199673	0.0160591446700392	0.30026395497781	down
ENSECAP00000012317	ENSECAP00000035360	923	RAC1	-2.32019212761131	0.0446312759454921	0.39643027704637	down	RALB	-2.16884495129044	0.0485922966881943	0.404644485011402	down
ENSECAP00000012317	ENSECAP00000044988	630	SSB	-3.77525606676205	0.00515691765823073	0.213731047141521	down	RALB	-2.16884495129044	0.0485922966881943	0.404644485011402	down
ENSECAP00000012407	ENSECAP00000000426	688	COX7A2L	1.48205787964497	0.0259454403715044	0.343221111200187	up	PMPCB	-1.17966985328721	0.0167129427359497	0.30026395497781	down
ENSECAP00000012407	ENSECAP00000008961	777	GATC	-2.56639255965828	0.00526249230542838	0.213731047141521	down	PMPCB	-1.17966985328721	0.0167129427359497	0.30026395497781	down
ENSECAP00000012407	ENSECAP00000013513	864	NDUFA12	-1.60460014819958	0.0271438937189628	0.349100633107771	down	PMPCB	-1.17966985328721	0.0167129427359497	0.30026395497781	down
ENSECAP00000012407	ENSECAP00000015770	746	YJEFN3	1.05303203977149	0.025320424716648	0.341973604175058	up	PMPCB	-1.17966985328721	0.0167129427359497	0.30026395497781	down
ENSECAP00000012407	ENSECAP00000016512	702	PCCA	-0.685203960700695	0.0437659089658408	0.39643027704637	down	PMPCB	-1.17966985328721	0.0167129427359497	0.30026395497781	down
ENSECAP00000012407	ENSECAP00000018120	705	NDUFB3	-1.92461868771974	0.0270284815423541	0.349100633107771	down	PMPCB	-1.17966985328721	0.0167129427359497	0.30026395497781	down
ENSECAP00000012407	ENSECAP00000023111	812	MT-ND1	-2.29081830005923	0.0330233694300895	0.369319324785784	down	PMPCB	-1.17966985328721	0.0167129427359497	0.30026395497781	down
ENSECAP00000012452	ENSECAP00000002532	999	PSMC1	0.877567344346801	0.0110178699595969	0.286973859439574	up	PSMD11	-0.800391401776047	0.0471201585668744	0.404405277656634	down
ENSECAP00000012452	ENSECAP00000005144	994	PSMB4	1.02258773321363	0.0071011978956632	0.231539058147328	up	PSMD11	-0.800391401776047	0.0471201585668744	0.404405277656634	down
ENSECAP00000012452	ENSECAP00000007717	998	PSMA4	0.745080071236984	0.0469932428547578	0.404405277656634	up	PSMD11	-0.800391401776047	0.0471201585668744	0.404405277656634	down
ENSECAP00000012452	ENSECAP00000013937	970	PSMB6	2.17485424763146	0.0344717074334055	0.37141561011371	up	PSMD11	-0.800391401776047	0.0471201585668744	0.404405277656634	down
ENSECAP00000012452	ENSECAP00000020680	994	USP14	0.801433441030756	0.0167317711413121	0.30026395497781	up	PSMD11	-0.800391401776047	0.0471201585668744	0.404405277656634	down
ENSECAP00000012452	ENSECAP00000028518	619	RBX1	-2.07801715483139	0.0407309282492058	0.389636772301287	down	PSMD11	-0.800391401776047	0.0471201585668744	0.404405277656634	down
ENSECAP00000012452	ENSECAP00000042384	737	FGGY	-3.38258253200035	0.0149441891056738	0.30026395497781	down	PSMD11	-0.800391401776047	0.0471201585668744	0.404405277656634	down
ENSECAP00000012452	ENSECAP00000050033	673	CUL3	-3.45019492019909	0.0261071735302379	0.343398333650572	down	PSMD11	-0.800391401776047	0.0471201585668744	0.404405277656634	down
ENSECAP00000012462	ENSECAP00000007189	615	HNRNPA1	-3.01331465547563	0.0172818286049902	0.305400253592002	down	HNRNPH1	-2.36856352691962	0.0147551789921582	0.30026395497781	down
ENSECAP00000012626	ENSECAP00000026966	642	SETD7	-2.02871966389132	0.0255590520417733	0.341973604175058	down	PRMT5	-3.04521273427794	0.0328334027581448	0.368977317403424	down
ENSECAP00000012723	ENSECAP00000015003	996	ALDH18A1	-3.24136950386837	0.000132745150623685	0.0436586997512218	down	OAT	-2.33785729623802	0.0380990384374469	0.379017097198019	down
ENSECAP00000012983	ENSECAP00000015003	623	ALDH18A1	-3.24136950386837	0.000132745150623685	0.0436586997512218	down	ALDH1A2	3.98740317131539	0.0262677981639141	0.343559055081701	up
ENSECAP00000013513	ENSECAP00000000457	753	OXSM	-2.69772179661539	0.000214147246573969	0.0550834306465266	down	NDUFA12	-1.60460014819958	0.0271438937189628	0.349100633107771	down
ENSECAP00000013513	ENSECAP00000008961	828	GATC	-2.56639255965828	0.00526249230542838	0.213731047141521	down	NDUFA12	-1.60460014819958	0.0271438937189628	0.349100633107771	down
ENSECAP00000013513	ENSECAP00000012407	864	PMPCB	-1.17966985328721	0.0167129427359497	0.30026395497781	down	NDUFA12	-1.60460014819958	0.0271438937189628	0.349100633107771	down
ENSECAP00000013513	ENSECAP00000015240	644	FDX1	1.19238694244201	0.0468842590940155	0.404405277656634	up	NDUFA12	-1.60460014819958	0.0271438937189628	0.349100633107771	down
ENSECAP00000013513	ENSECAP00000015770	990	YJEFN3	1.05303203977149	0.025320424716648	0.341973604175058	up	NDUFA12	-1.60460014819958	0.0271438937189628	0.349100633107771	down
ENSECAP00000013513	ENSECAP00000016105	831	ATP5PB	-0.963581910380128	0.0397014486660946	0.384555873062799	down	NDUFA12	-1.60460014819958	0.0271438937189628	0.349100633107771	down
ENSECAP00000013513	ENSECAP00000018120	999	NDUFB3	-1.92461868771974	0.0270284815423541	0.349100633107771	down	NDUFA12	-1.60460014819958	0.0271438937189628	0.349100633107771	down
ENSECAP00000013513	ENSECAP00000023111	998	MT-ND1	-2.29081830005923	0.0330233694300895	0.369319324785784	down	NDUFA12	-1.60460014819958	0.0271438937189628	0.349100633107771	down
ENSECAP00000013513	ENSECAP00000051440	871	ATP5MF	-1.59547767161134	0.0463863805683882	0.404405277656634	down	NDUFA12	-1.60460014819958	0.0271438937189628	0.349100633107771	down
ENSECAP00000013531	ENSECAP00000028518	809	RBX1	-2.07801715483139	0.0407309282492058	0.389636772301287	down	UBE2I	-5.60468766046244	0.0175247209668955	0.307346432108811	down
ENSECAP00000013531	ENSECAP00000031233	751	RAN	-0.556980318849906	0.032399324352897	0.365875296960764	down	UBE2I	-5.60468766046244	0.0175247209668955	0.307346432108811	down
ENSECAP00000013873	ENSECAP00000009810	900	NT5C3A	-1.87558997830013	0.0240026603448402	0.341973604175058	down	NUDT16	-1.4424697996792	0.042949126814812	0.394552494350357	down
ENSECAP00000013873	ENSECAP00000054504	900	ADSS1	-0.961124640369595	0.0218439017982388	0.340056845517412	down	NUDT16	-1.4424697996792	0.042949126814812	0.394552494350357	down
ENSECAP00000013879	ENSECAP00000002587	827	MRPS31	-2.06367611255383	0.0427476712317033	0.394552494350357	down	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up
ENSECAP00000013879	ENSECAP00000004767	992	EIF1AX	1.49222242259219	0.00560531930895848	0.222479751552873	up	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up
ENSECAP00000013879	ENSECAP00000004827	999	RPS10	-3.12855227937145	0.000355915339741324	0.0674066619965587	down	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up
ENSECAP00000013879	ENSECAP00000007656	996	RPS3A	-1.15592534105766	0.0375605440803809	0.379017097198019	down	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up
ENSECAP00000013879	ENSECAP00000008024	996	RPL15	4.69892076261457	0.00959231154140061	0.266875768214779	up	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up
ENSECAP00000013879	ENSECAP00000008458	851	TSFM	2.1580409915263	0.0314844181715655	0.364432140335871	up	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up
ENSECAP00000013879	ENSECAP00000009630	998	RPL13	1.28822955009462	0.00346954828037892	0.178488983757271	up	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up
ENSECAP00000013879	ENSECAP00000010187	999	RPS20	-2.1767359934074	0.0183783967201726	0.308304263820287	down	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up
ENSECAP00000013879	ENSECAP00000010598	904	EIF5	0.789194203590078	0.034740963250808	0.37141561011371	up	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up
ENSECAP00000013879	ENSECAP00000015947	989	EIF2S1	-2.75656167392752	0.0365409569008225	0.377902875596469	down	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up
ENSECAP00000013879	ENSECAP00000018437	997	RPS25	-2.05944432128337	0.0490008365416389	0.405731024596725	down	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up
ENSECAP00000013879	ENSECAP00000021824	999	RPS14	-1.06384354602563	0.0479487321917721	0.404644485011402	down	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up
ENSECAP00000013879	ENSECAP00000022904	968	EIF5B	-3.08034135003436	0.000759620645462824	0.0837391330593542	down	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up
ENSECAP00000013879	ENSECAP00000024209	620	NARS1	-2.0379469380901	0.0295080720350853	0.363522538565712	down	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up
ENSECAP00000013879	ENSECAP00000049007	804	KARS1	1.15568713702858	0.0217065540049111	0.340056845517412	up	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up
ENSECAP00000013937	ENSECAP00000002532	980	PSMC1	0.877567344346801	0.0110178699595969	0.286973859439574	up	PSMB6	2.17485424763146	0.0344717074334055	0.37141561011371	up
ENSECAP00000013937	ENSECAP00000005144	999	PSMB4	1.02258773321363	0.0071011978956632	0.231539058147328	up	PSMB6	2.17485424763146	0.0344717074334055	0.37141561011371	up
ENSECAP00000013937	ENSECAP00000007717	998	PSMA4	0.745080071236984	0.0469932428547578	0.404405277656634	up	PSMB6	2.17485424763146	0.0344717074334055	0.37141561011371	up
ENSECAP00000013937	ENSECAP00000008051	612	TIMM10	0.849403824875267	0.04822478341867	0.404644485011402	up	PSMB6	2.17485424763146	0.0344717074334055	0.37141561011371	up
ENSECAP00000013937	ENSECAP00000012452	970	PSMD11	-0.800391401776047	0.0471201585668744	0.404405277656634	down	PSMB6	2.17485424763146	0.0344717074334055	0.37141561011371	up
ENSECAP00000013937	ENSECAP00000020680	938	USP14	0.801433441030756	0.0167317711413121	0.30026395497781	up	PSMB6	2.17485424763146	0.0344717074334055	0.37141561011371	up
ENSECAP00000013937	ENSECAP00000028518	772	RBX1	-2.07801715483139	0.0407309282492058	0.389636772301287	down	PSMB6	2.17485424763146	0.0344717074334055	0.37141561011371	up
ENSECAP00000013937	ENSECAP00000042384	605	FGGY	-3.38258253200035	0.0149441891056738	0.30026395497781	down	PSMB6	2.17485424763146	0.0344717074334055	0.37141561011371	up
ENSECAP00000014312	ENSECAP00000015240	647	FDX1	1.19238694244201	0.0468842590940155	0.404405277656634	up	PTGIS	-3.43317633339881	0.000736073877811972	0.0837391330593542	down
ENSECAP00000014717	ENSECAP00000003374	810	CANX	-3.75822143373495	0.00395024481308907	0.186628913108188	down	ERP44	-3.15912353077691	0.0163617373635543	0.30026395497781	down
ENSECAP00000014717	ENSECAP00000022339	660	TMX3	-2.92717627646914	0.00027577162832927	0.0638411319582261	down	ERP44	-3.15912353077691	0.0163617373635543	0.30026395497781	down
ENSECAP00000015003	ENSECAP00000008893	718	ALDH7A1	-0.448214000465832	0.0314317129870667	0.364432140335871	down	ALDH18A1	-3.24136950386837	0.000132745150623685	0.0436586997512218	down
ENSECAP00000015003	ENSECAP00000012723	996	OAT	-2.33785729623802	0.0380990384374469	0.379017097198019	down	ALDH18A1	-3.24136950386837	0.000132745150623685	0.0436586997512218	down
ENSECAP00000015003	ENSECAP00000012983	623	ALDH1A2	3.98740317131539	0.0262677981639141	0.343559055081701	up	ALDH18A1	-3.24136950386837	0.000132745150623685	0.0436586997512218	down
ENSECAP00000015003	ENSECAP00000016512	712	PCCA	-0.685203960700695	0.0437659089658408	0.39643027704637	down	ALDH18A1	-3.24136950386837	0.000132745150623685	0.0436586997512218	down
ENSECAP00000015003	ENSECAP00000054504	641	ADSS1	-0.961124640369595	0.0218439017982388	0.340056845517412	down	ALDH18A1	-3.24136950386837	0.000132745150623685	0.0436586997512218	down
ENSECAP00000015240	ENSECAP00000013513	644	NDUFA12	-1.60460014819958	0.0271438937189628	0.349100633107771	down	FDX1	1.19238694244201	0.0468842590940155	0.404405277656634	up
ENSECAP00000015240	ENSECAP00000014312	647	PTGIS	-3.43317633339881	0.000736073877811972	0.0837391330593542	down	FDX1	1.19238694244201	0.0468842590940155	0.404405277656634	up
ENSECAP00000015240	ENSECAP00000023111	828	MT-ND1	-2.29081830005923	0.0330233694300895	0.369319324785784	down	FDX1	1.19238694244201	0.0468842590940155	0.404405277656634	up
ENSECAP00000015383	ENSECAP00000039446	792	SEPTIN10	-1.37837900839687	0.04172567680576	0.39268460338586	down	SEPTIN2	-0.91730659000452	0.0221357044693934	0.340056845517412	down
ENSECAP00000015770	ENSECAP00000008961	678	GATC	-2.56639255965828	0.00526249230542838	0.213731047141521	down	YJEFN3	1.05303203977149	0.025320424716648	0.341973604175058	up
ENSECAP00000015770	ENSECAP00000012407	746	PMPCB	-1.17966985328721	0.0167129427359497	0.30026395497781	down	YJEFN3	1.05303203977149	0.025320424716648	0.341973604175058	up
ENSECAP00000015770	ENSECAP00000013513	990	NDUFA12	-1.60460014819958	0.0271438937189628	0.349100633107771	down	YJEFN3	1.05303203977149	0.025320424716648	0.341973604175058	up
ENSECAP00000015770	ENSECAP00000018120	993	NDUFB3	-1.92461868771974	0.0270284815423541	0.349100633107771	down	YJEFN3	1.05303203977149	0.025320424716648	0.341973604175058	up
ENSECAP00000015770	ENSECAP00000023111	989	MT-ND1	-2.29081830005923	0.0330233694300895	0.369319324785784	down	YJEFN3	1.05303203977149	0.025320424716648	0.341973604175058	up
ENSECAP00000015947	ENSECAP00000004767	993	EIF1AX	1.49222242259219	0.00560531930895848	0.222479751552873	up	EIF2S1	-2.75656167392752	0.0365409569008225	0.377902875596469	down
ENSECAP00000015947	ENSECAP00000004827	928	RPS10	-3.12855227937145	0.000355915339741324	0.0674066619965587	down	EIF2S1	-2.75656167392752	0.0365409569008225	0.377902875596469	down
ENSECAP00000015947	ENSECAP00000007656	966	RPS3A	-1.15592534105766	0.0375605440803809	0.379017097198019	down	EIF2S1	-2.75656167392752	0.0365409569008225	0.377902875596469	down
ENSECAP00000015947	ENSECAP00000008024	683	RPL15	4.69892076261457	0.00959231154140061	0.266875768214779	up	EIF2S1	-2.75656167392752	0.0365409569008225	0.377902875596469	down
ENSECAP00000015947	ENSECAP00000009743	797	GMPPA	-1.49697850560718	0.0422428276154482	0.392739541886597	down	EIF2S1	-2.75656167392752	0.0365409569008225	0.377902875596469	down
ENSECAP00000015947	ENSECAP00000010187	990	RPS20	-2.1767359934074	0.0183783967201726	0.308304263820287	down	EIF2S1	-2.75656167392752	0.0365409569008225	0.377902875596469	down
ENSECAP00000015947	ENSECAP00000010598	993	EIF5	0.789194203590078	0.034740963250808	0.37141561011371	up	EIF2S1	-2.75656167392752	0.0365409569008225	0.377902875596469	down
ENSECAP00000015947	ENSECAP00000013879	989	RPS5	2.06392724255073	0.0446591301746405	0.39643027704637	up	EIF2S1	-2.75656167392752	0.0365409569008225	0.377902875596469	down
ENSECAP00000015947	ENSECAP00000018437	927	RPS25	-2.05944432128337	0.0490008365416389	0.405731024596725	down	EIF2S1	-2.75656167392752	0.0365409569008225	0.377902875596469	down
ENSECAP00000015947	ENSECAP00000021824	876	RPS14	-1.06384354602563	0.0479487321917721	0.404644485011402	down	EIF2S1	-2.75656167392752	0.0365409569008225	0.377902875596469	down
ENSECAP00000015947	ENSECAP00000022904	793	EIF5B	-3.08034135003436	0.000759620645462824	0.0837391330593542	down	EIF2S1	-2.75656167392752	0.0365409569008225	0.377902875596469	down
ENSECAP00000015947	ENSECAP00000046661	662	EIF2A	-0.999145620796169	0.0421260642837747	0.392739541886597	down	EIF2S1	-2.75656167392752	0.0365409569008225	0.377902875596469	down
ENSECAP00000016105	ENSECAP00000013513	831	NDUFA12	-1.60460014819958	0.0271438937189628	0.349100633107771	down	ATP5PB	-0.963581910380128	0.0397014486660946	0.384555873062799	down
ENSECAP00000016105	ENSECAP00000018120	824	NDUFB3	-1.92461868771974	0.0270284815423541	0.349100633107771	down	ATP5PB	-0.963581910380128	0.0397014486660946	0.384555873062799	down
ENSECAP00000016105	ENSECAP00000038257	702	PPA1	0.565283943763612	0.0226226520928055	0.341176060548662	up	ATP5PB	-0.963581910380128	0.0397014486660946	0.384555873062799	down
ENSECAP00000016105	ENSECAP00000051440	999	ATP5MF	-1.59547767161134	0.0463863805683882	0.404405277656634	down	ATP5PB	-0.963581910380128	0.0397014486660946	0.384555873062799	down
ENSECAP00000016512	ENSECAP00000000457	789	OXSM	-2.69772179661539	0.000214147246573969	0.0550834306465266	down	PCCA	-0.685203960700695	0.0437659089658408	0.39643027704637	down
ENSECAP00000016512	ENSECAP00000008893	824	ALDH7A1	-0.448214000465832	0.0314317129870667	0.364432140335871	down	PCCA	-0.685203960700695	0.0437659089658408	0.39643027704637	down
ENSECAP00000016512	ENSECAP00000010286	744	BCKDHA	-1.39450847628705	0.0384747377285246	0.379017097198019	down	PCCA	-0.685203960700695	0.0437659089658408	0.39643027704637	down
ENSECAP00000016512	ENSECAP00000012407	702	PMPCB	-1.17966985328721	0.0167129427359497	0.30026395497781	down	PCCA	-0.685203960700695	0.0437659089658408	0.39643027704637	down
ENSECAP00000016512	ENSECAP00000015003	712	ALDH18A1	-3.24136950386837	0.000132745150623685	0.0436586997512218	down	PCCA	-0.685203960700695	0.0437659089658408	0.39643027704637	down
ENSECAP00000016512	ENSECAP00000041189	978	DBT	-1.24065948817798	0.0419333658593917	0.392739541886597	down	PCCA	-0.685203960700695	0.0437659089658408	0.39643027704637	down
ENSECAP00000016512	ENSECAP00000045515	645	PANK4	-2.19828391516898	0.0297881248438167	0.363522538565712	down	PCCA	-0.685203960700695	0.0437659089658408	0.39643027704637	down
ENSECAP00000017019	ENSECAP00000021407	682	PRKCSH	0.682898929682109	0.0125274481763254	0.286973859439574	up	ISYNA1	1.79638725607495	0.0128236759331186	0.288221454224947	up
ENSECAP00000017163	ENSECAP00000039749	711	ADD3	-1.31876916865212	0.0145530570773436	0.30026395497781	down	ENOPH1	-2.10688258955365	0.00682619681446983	0.229023849644894	down
ENSECAP00000017568	ENSECAP00000007717	659	PSMA4	0.745080071236984	0.0469932428547578	0.404405277656634	up	PLAA	-1.41729901142025	0.0448659751992004	0.39643027704637	down
ENSECAP00000017568	ENSECAP00000020680	661	USP14	0.801433441030756	0.0167317711413121	0.30026395497781	up	PLAA	-1.41729901142025	0.0448659751992004	0.39643027704637	down
ENSECAP00000017673	ENSECAP00000009772	752	ITGA7	-4.03260898875771	0.00802772498757703	0.251858713667127	down	THBS4	-1.22599565487285	0.00116276155457307	0.0928204482357465	down
ENSECAP00000017673	ENSECAP00000030032	689	FMOD	-2.49423969393328	0.0443458535982296	0.39643027704637	down	THBS4	-1.22599565487285	0.00116276155457307	0.0928204482357465	down
ENSECAP00000017673	ENSECAP00000031638	936	CD36	-2.93907806272438	0.00324388197086363	0.174641552617426	down	THBS4	-1.22599565487285	0.00116276155457307	0.0928204482357465	down
ENSECAP00000017877	ENSECAP00000036309	663	GDI1	-0.66546298152493	0.00671409283206272	0.229023849644894	down	RABGGTB	-2.39557536263331	0.0338474742769782	0.37141561011371	down
ENSECAP00000017959	ENSECAP00000010228	706	CRYAB	0.823298915957007	0.0124718492627878	0.286973859439574	up	HSPB1	1.16632190620599	0.00340323198751032	0.178488983757271	up
ENSECAP00000018120	ENSECAP00000000426	629	COX7A2L	1.48205787964497	0.0259454403715044	0.343221111200187	up	NDUFB3	-1.92461868771974	0.0270284815423541	0.349100633107771	down
ENSECAP00000018120	ENSECAP00000008961	615	GATC	-2.56639255965828	0.00526249230542838	0.213731047141521	down	NDUFB3	-1.92461868771974	0.0270284815423541	0.349100633107771	down
