protein2	protein1	combined_score	GENENAME1	logFC1	P.Value1	adj.P.Val1	Direction1	GENENAME2	logFC2	P.Value2	adj.P.Val2	Direction2
ENSECAP00000010228	ENSECAP00000017959	706	HSPB1	0.509858205170671	1.13265505403074e-05	0.00298517532017878	up	CRYAB	0.49083212108207	0.000475822932611299	0.0262477208407907	up
ENSECAP00000010311	ENSECAP00000015242	803	NDUFB7	0.389735214399374	0.00127954187177164	0.0488847102771836	up	COX6A1	1.20211693749959	2.15785028773946e-05	0.00426535073543167	up
ENSECAP00000010311	ENSECAP00000019918	845	NDUFA6	0.501016175191605	6.85884318185812e-05	0.0077472266796988	up	COX6A1	1.20211693749959	2.15785028773946e-05	0.00426535073543167	up
ENSECAP00000010311	ENSECAP00000023106	984	MT-CO2	0.567851436553883	0.000216614524616758	0.0155699894663924	up	COX6A1	1.20211693749959	2.15785028773946e-05	0.00426535073543167	up
ENSECAP00000010311	ENSECAP00000030994	731	NDUFS3	0.347573649222835	0.00110584599195051	0.0437177782151104	up	COX6A1	1.20211693749959	2.15785028773946e-05	0.00426535073543167	up
ENSECAP00000010311	ENSECAP00000054014	999	COX5A	0.52947735501576	0.000863744961094515	0.0372509645039307	up	COX6A1	1.20211693749959	2.15785028773946e-05	0.00426535073543167	up
ENSECAP00000014815	ENSECAP00000026437	933	ACSS1	0.700846534456042	1.40366564033523e-06	0.000665898979775035	up	ACACB	-1.04468175773943	0.000403837060615852	0.0233634514092878	down
ENSECAP00000015242	ENSECAP00000010311	803	COX6A1	1.20211693749959	2.15785028773946e-05	0.00426535073543167	up	NDUFB7	0.389735214399374	0.00127954187177164	0.0488847102771836	up
ENSECAP00000015242	ENSECAP00000019918	999	NDUFA6	0.501016175191605	6.85884318185812e-05	0.0077472266796988	up	NDUFB7	0.389735214399374	0.00127954187177164	0.0488847102771836	up
ENSECAP00000015242	ENSECAP00000023106	974	MT-CO2	0.567851436553883	0.000216614524616758	0.0155699894663924	up	NDUFB7	0.389735214399374	0.00127954187177164	0.0488847102771836	up
