1B	1C	2B	2C	3B	3C	4B	4C	5B	5C	6B	6C	7B	7C	8B	8C	9B	9C	10B	10C	11B	11C	12B	12C	13B	13C	14B	14C	15B	15C	16B	16C	17B	17C	18B	18C	19B	19C	20B	20C	22B	22C	23B	23C	24B	24C	25B	GeneName
17.532427131254	17.1358714986801	17.3185103765299	17.0052431778205	17.5941520078359	17.1920968864844	18.0652435734214	17.7699389755128	16.6034508860154	16.9773202083201	17.4802932266269	17.5243506699191	17.7139295811485	17.2112810732377	16.8576389075871	17.4832562546835	16.9782991824911	17.1268853199687	17.3411023701241	16.9416972305372	16.918702368087	17.7799220399568	17.8858817757757	17.2326906706023	18.083181557889	17.401561097662	17.3667629485975	18.117384323674	17.3025222495558	17.4297555392131	17.7162627247523	16.5751019024133	17.2991174934027	17.9885925418127	17.3509145853926	17.5750624860244	16.7542294746834	16.8597119316716	16.5803762182684	17.5811894826452	18.027453510113	17.5773661852749	18.1181976887438	18.233717351756	17.3774923652647	17.5285412662453	17.1774663159106	A1BG
15.830700450288	16.0922252367015	16.6750759774214	16.6003189508138	16.5890869709352	16.6859164736025	16.0134262003957	15.862566503173	15.6679420487595	15.7289252565789	17.0965419421649	16.1668044428007	16.4479204807926	16.6352979376015	15.4618952511348	16.1728856225665	15.7755981842991	16.1202763894381	15.7283070192904	16.4032341229542	15.6467473762978	16.6965998731436	15.4597261270351	15.577987076617	17.814618234464	16.6414657444719	16.6908130651919	16.9635203069867	16.4075749306599	16.7738443147192	17.0928105826781	15.6692069313264	15.4287907327198	16.0344645087842	16.3072970055101	16.1979316936682	15.8160429487464	15.8221139639977	15.9031951594261	15.7432035066964	16.6223838808252	15.7745548322459	16.1341057246832	16.2380374316134	15.929008113972	16.1728699163212	16.1215918488474	A2M
9.39693218178665	10.2655765369103	10.4670685312683	10.0857379217108	10.9151008785801	10.6849497366791	11.5631653996517	10.253735686402	10.5553040629974	10.3039443386642	11.1731423805647	10.6786092439544	10.6429909909414	10.580623533997	9.64311353710137	10.5595270837064	10.5509757599614	9.38633793376944	10.068625965269	10.4956960667024	10.6364352546992	10.0077780375893	10.0200630451746	9.57144150447514	10.0930484225638	10.2509616328806	10.5235838062468	11.1343516814689	10.0187057698905	10.4531417049679	9.60224864577763	10.3558391897838		10.4077446372953	10.9821629009768	10.2103387290233	9.72343057561131	8.40944377926142	10.3679174577425		10.2184889020533	10.0000949290546	10.3899991790546	9.97736491906105	10.7401001364763	10.0910374754972	11.195117516718	ABCA8
10.096315495736			9.93560530203609		11.4836783132575		10.5658660207952		8.32331218515409				10.6914387389688	10.3514129896092	10.0897446141765		8.81368518430993	9.08333448068803	9.61283947083986	9.48318727178167	8.99046523480991		9.37781015246603		9.55235508609089	10.3005263114545	9.05589129060512		9.92760370529918	9.93548668182456	10.1003888825349		8.36557691737448		8.86248110332506	10.911136084085		9.9059977641864		9.65905845441417			9.13983585329664	10.9234936776468	10.0800586924516		ABCB10
11.774528303512	12.6203392899408	12.3934046140034	11.3006457883753	12.2543349864641	13.3525632576982	11.2039795183684	11.9523594406574	12.2760285345058	12.4249954800919	11.5051175461512	12.2882120868925	12.4479021126201	12.2235469522745	11.8900747491288	12.6239188994466	12.3191486866658	11.2982479844976	12.5562796060358	12.8846292934653	12.1296673518518	12.4333382538035	11.8944421741339	12.6995444502426	11.5872632857109	13.0727924544514	12.1398063998112	12.7963567381286	10.7998239286602	13.2019531613875	11.7817562728573	12.7051090778478	11.1984414273607	11.558114532156	11.8129644547618	11.551875598829	12.5197893557123	11.9378977096822	12.272019284782	10.7716757641152	12.2364163382344	11.5126570532163	11.5123849124898	11.7886586636027	12.274898906818	11.8966178718452	11.3862241800405	ABCB7
11.9542404637931	11.5697791708867	11.8096502669642	12.1915286475805	12.0104628349731	12.8281966870384	11.4152735541037	11.4100590043185	12.1119715360867	11.6295914852809	11.2198185380893	10.9734591568266	11.54238854062	12.8410274871061	11.5448270339887	11.8867242511229	11.2489740731211	11.2211302925922	12.1076048937079	12.4382443095701	11.6817369434593	11.9582445564987	11.2833525341339	11.7990655468077	11.9497795121869	12.3752359928246	10.8622345431775	12.3020684703875	11.2855924379822	12.638622866668	11.3467642389058	13.2632777558029	11.0725782363837	10.734483122043	11.5099838512226	11.2713778470062	11.5577091327156	11.6151855247079	11.9610330245853		11.5559684341581	11.333903401808	11.2197844487678	11.955105280727	12.0466026216378	11.5534363242024	12.2818326280245	ABCB8
12.4546485273468	12.4123824153159	12.1806724106883	12.5292848703916	12.0676490266517	11.2923685405462	11.8988625827992	12.2712023686891	12.0882756157686	12.3454588533506	11.9357421959914	12.1381522589079	11.7691918041562	11.9424199396312	12.3911574548897	12.2546458333402	12.185562932723	12.4053707289247	11.9099078283769	11.7055879568652	11.7609169927842	11.9128733468359	12.2776929519685	11.8763226095477	12.1659487777903	12.0000327778851	11.8354820855757	12.0807719201418	12.4979662041159	12.0144738394497	11.6631539434215	11.1151830007777	12.114056248799	11.7159887421938	12.3203298756691	12.2555261131497	11.8991286370058	12.359902894106	11.6763414234628	12.5139904230468	12.0150002027954	12.8213577803914	12.3653422662894	12.314837785024	11.8386040218614	12.2247814179627	12.4459820758404	ABCE1
11.8895652280773	11.8819266402123	11.8188838717233	11.6794458070702	12.5620135851463	12.1279624682579	12.1927762002402	11.8076527000659	12.2254483138455	11.8121174156349	12.0530397082177	11.5416335112708	11.5815900748552	12.4730415373082	11.8325100414102	11.9531313257062	12.1153222530729	12.0051100843785	11.786347151959	12.4769610024495	13.0271543095184	11.5280730821099	12.0586966500012	12.4748936480445	11.8902426416748	12.0442885495616	11.8400874602777	11.3232164620318	11.580750907858	12.2043530047372	11.9216672531866	12.5927314990684	11.8891941400575	11.8635031772294	11.9368418564311	12.0538810470175	12.0097958702786	12.0267138438987	11.7149292155489	11.2039646791373	12.0177114276062	12.2409480173753	11.6962390391496	12.0896775923499	12.4049754988806	12.0832443491231	12.1605587936278	ABHD10
11.9348816990133	12.3666544695946	11.6518206277893	12.2335972444707	12.0944952604437	12.8235904962876	13.0590177970999	12.4066362418305	12.4399058811317	12.8209926428362	12.8486124571647	13.1845691149278	12.0422091022038	12.2913704665945	11.7895866790636	12.2777361777418	12.7315148017153	12.9554923672824	12.4619645302181	12.4166278115653	11.7350709242005	11.3323573626582	11.6715205864187	12.6135148541679	12.8305605514368	11.7923527760438	12.4216206152137	11.402315985466	12.8777224657837	12.5881427252291	12.6057490482441	12.1988484279652	14.374770176177	13.1495418401227	13.0367728631446	12.8799885835223	12.7216791708296	12.9019724395979	13.196551692626	12.5739677969318	13.1477322942784	12.6885428052909	11.7847511849897	12.0679766782929	12.9015091069203	12.5374496894366	13.5672682566243	ABHD11
12.3509833483278	11.3156277454645	12.8130492725869	11.6437155376415	11.9002208895437	11.3953246718545	11.3702650720154	12.2762948377726	12.661000273454	12.2359565525026	11.7730018196053	12.2770663269414	11.6883418708372	12.086482237894	12.2822042615979	12.036464022425	12.6384830524114	12.2587754963269	11.7667975151097	11.9431307687875	11.7796523603367	12.1099663757936	12.8519820119498	11.8514765866679	12.6074048014767	11.2994900530139	11.840570065632	11.8257895758817	12.2992519111285	12.0022549307243	11.849401951962	11.8905107550904	12.7571735040369	12.2278977789164	12.812912088541	12.1229608191753	11.791975266403	12.6082276662735	11.9932451381593	12.9845076311345	12.1196885886854	12.7878265084188	11.7877600342968	12.1461874489582	11.4293131807975	11.852890274955	11.8968537183244	ABHD14B
